Unnamed: 0,번호,제목,저자,출판사,출판일
,52,Big-data-driven safety decision-making: A conceptual framework and its influencing factors,"Huang, Lang; Wu, Chao; Wang, Bing; Ouyang, Qiumei","Elsevier Science B.V., Amsterdam.",2018
,53,Data Transfer Scheduling for Maximizing Throughput of Big-Data Computing in Cloud Systems,"Xie, R.; Jia, X.",IEEE,2018
,54,Big-Data for Satellite Yearly Reports Generation (AIAA 2018-2368),"Hennion, Nicolas",AIAA,2018
,55,Big-data analysis of phase-formation rules in high-entropy alloys,"Zhao, Wan-li; Miao, Ding-hao; Zhang, Yong; He, Zhan-bing","ELSEVIER SCIENCE B.V., AMSTERDAM",2017
,56,Big-Data Method to Advance Public Health Informatics: Smarter Public Health Prevention System (SPHPS),"Jalali,  Arash; Rahden,  Douglas; Heintz,  Joerg; Filla,  Greg; DiNovi,  Jason; Mensah,  Edward",American Medical Informatics Association,2016
,57,Big-data clustering with interval type-2 fuzzy uncertainty modeling in gene expression datasets,"Shukla, Amit K.; Muhuri, Pranab K.","Elsevier Science B.V., Amsterdam.",2019
,58,Big-Data Approach for Three-Dimensional Building Extraction from Aerial Laser Scanning,"Aljumaily,  Harith; Laefer,  Debra F.; Cuadra,  Dolores",ASCE AMERICAN SOCIETY OF CIVIL ENGINEERS,2016
,59,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
,60,Big-data and machine learning to revamp computational toxicology and its use in risk assessment,"Luechtefeld, T.; Rowlands, C.; Hartung, T.",Royal Society of Chemistry,2018
,61,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,"Kim, Jonghun; Jang, Heetae; Kim, Jong Tak; Pan, Hee-Jun; Park, Roy C.",Springer Nature,2018
,62,Big-Data Approaches for Bioinformatics Workflows: A Comparative Assessment,"Nunes,  Rickey T. P.; Deshpande,  Santosh L.",Springer,2016
,63,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,64,"Big-Data Analysis, Cluster Analysis, and Machine-Learning Approaches","Alonso-Betanzos, Amparo; Bolón-Canedo, Verónica",Kluwer Academic Publishers,2018
,65,Big-Data Reflection High Energy Electron Diffraction Analysis for Understanding Epitaxial Film Growth Processes,"Vasudevan, R.K.; Tselev, A.; Baddorf, A.P.; Kalinin, S.V.",AMERICAN CHEMICAL SOCIETY,2014
,66,Big-data analytics: a critical review and some future directions,"JovanoviÄ, UroÅ¡; Å timec, AleÅ¡; VladuÅ¡iÄ, Daniel; Papa, Gregor; Å ilc, Jurij",Inderscience,2015
,67,Big-Data Applications in the Government Sector,"Kim, G.-H.; Trimi, S.; Chung, J.-H.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2014
,68,Big-Data Based Online State of Charge Estimation and Energy Consumption Prediction for Electric Vehicles,"Zhang,  Zhiyun; Huang,  Miaohua; Chen,  Yupu; Gao,  Dong",Society of Automotive Engineers,2016
,69,Big-Data-Driven Stem Cell Science and Tissue Engineering: Vision and Unique Opportunities,"Del Sol, Antonio; Thiesen, Hans J.; Imitola, Jaime; Carazo Salas, Rafael E.",ELSEVIER SCIENCE B.V; AMSTERDAM,2017
,70,Big-data analytics framework for incorporating smallholders in sustainable palm oil production,"Shukla, Manish; Tiwari, Manoj Kumar",Taylor & Francis,2017
,71,Big-Sensing-Data Curation for the Cloud is Coming: A Promise of Scalable Cloud-Data-Center Mitigation for Next-Generation IoT and Wireless Sensor Networks,"Yang, C.; Puthal, D.; Mohanty, S.; Kougianos, E.",IEEE,2017
,72,Big-Data Cloud Services Platform for Growth Enterprises with Adaptive Exception Handling and Parallelized Data Mining,"Wen, Yazhi; Bo, Hu; Wen, Bin",Springer,2017
,73,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,74,Big-Data-Geschäftsmodelle — die drei Seiten der Medaille,"Hecker, D.",Springer Science + Business Media,2016
,75,"Big-Data Analytics Drives Parking Policy: Evaluating Adherence to Meter Time Limits in Washington, D.C","Liang,  Xiaomeng; Pérez,  Benito O.; Dey,  Soumya S.; Haney,  Heather; Kim,  Jasmin Y.","Washington, DC; National Academy Press; 1998",2016
,76,Big-Data-Technologien in der Fahrzeugentwicklung,"Abthoff, T.",Springer Science + Business Media,2016
,77,Big-data business models: A critical literature review and multiperspective research framework,"Wiener, Martin; Saunders, Carol; Marabelli, Marco",Palgrave Macmillan,2020
,78,"Big-Data - Theoretical, Engineering and Analytics Perspective","Agneeswaran, V.S.",SPRINGER-VERLAG,2012
,79,Big-Data-Based Intelligent Spectrum Sensing for Heterogeneous Spectrum Communications in 5G,"Liu, Xin; Sun, Qingquan; Lu, Weidang; Wu, Celimuge; Ding, Hua",IEEE,2020
,80,Big-Data Mechanisms and Energy-Policy Design,"Pat,  Ankit; Larson,  Kate; Keshav,  Srinivasen",American Association for Artificial Intelligence,2016
,81,Big-Data Challenge Advances highlight big issues,unknown,BEIJING REVIEW,2014
,82,Big-Data-Anwendungsfälle methodisch erarbeiten,"Franz, T.",Springer Science + Business Media,2015
,83,Big-data Feature Screening Using Bregman Divergence,"Cheng, J.; Cheng, Q.; Zargham, M.",United States; CSREA,2011
,84,BIG DATA/BIG COMPUTE TECHNOLOGIES AND THE REALM OF POSSIBILITIES: The Emergence of Real-Time Risk Enterprises in the Capital Markets Industry,MAYIZ HABBAL,Institutional Investor,2014
,85,Big-Data and the Question of Horizontal and Vertical Intelligence: A Discussion on Disaster Management,"Benaben,  Frederick; Montarnal,  Aurelie; Fertier,  Audrey; Truptil,  Sebastien",Springer.,2016
,86,Big-Data-Based Power Battery Recycling for New Energy Vehicles: Information Sharing Platform and Intelligent Transportation Optimization,"Yu, Haijun; Dai, Hongliang; Tian, Guangdong; Xie, Yinghao; Wu, Benben; Zhu, Ying; Li, Hongliang; Wu, Han",IEEE,2020
,87,Big-data-based edge biomarkers: study on dynamical drug sensitivity and resistance in individuals,"Zeng, T.; Zhang, W.; Yu, X.; Liu, X.; Li, M.; Chen, L.",Oxford University Press,2016
,88,Big-data for building energy performance: Lessons from assembling a very large national database of building energy use,Paul A. Mathew; Laurel N. Dunn,ELSEVIER,2015
,89,Big-data analysis for carbon emission reduction from cars: Towards walkable green smart community,"Yamagata, Yoshiki; Murakami, Daisuke; Wu, Yihan; Yang, Perry Pei-Ju; Yoshida, Takahiro; Binder, Robert","Elsevier Science B.V., Amsterdam",2019
,90,Big-Data Tensor Recovery for High-Dimensional Uncertainty Quantification of Process Variations,"Zhang, Z.; Weng, T.; Daniel, L.",IEEE,2017
,91,Big-Data Visualization,"Keim, D.; Qu, H.; Ma, K. L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,92,Big-Data Streaming Applications Scheduling with Online Learning and Concept Drift Detection,"Kanoun, Karim; van der Schaar, Mihaela",IEEE Computer Society,2015
,93,Sears' Big-Data Strategy? Just a Service Call Away,"Wahba, Phil",Time Inc.,2015
,94,"The big-data jobs outlook is encouraging. | GM plans to hire 3,000 HP employees",unknown,CW COMMUNICATIONS INC.,2012
,95,A big-data driven approach to analyzing and modeling human mobility trend under non-pharmaceutical interventions during COVID-19 pandemic,"Hu, Songhua; Xiong, Chenfeng; Yang, Mofeng; Younes, Hannah; Luo, Weiyu; Zhang, Lei","Elsevier Science B.V., Amsterdam",2021
,96,"Recent Big-Data Struggles Are 'Birthing Pains,' Researchers Say.","PARRY, MARC.","Chronicle of higher education, etc",2014
,97,"A Big-Data Perspective on AI: Newton, Merton, and Analytics Intelligence","Wang, F. Y.",COMPUTER SOCIETY,2012
,98,Applying big-data technologies to network architecture,unknown,L M ERICSSON,2012
,99,Social Big-Data-Based Content Dissemination in Internet of Vehicles,"Zhou, Z.; Gao, C.; Xu, C.; Zhang, Y.; Mumtaz, S.; Rodriguez, J.",IEEE,2018
,100,Becoming data-savvy in a big-data world,"Xu, Meng; Rhee, Seung Yon","Elsevier Science B.V., Amsterdam.",2014
,1,"The Big-Data-Driven Intelligent Wireless Network: Architecture, Use Cases, Solutions, and Future Trends","I, C.; Sun, Q.; Liu, Z.; Zhang, S.; Han, S.","Institute of Electrical and Electronics Engineers, Inc.",2017
,2,A Big-Data Analysis of Disaster Information Dissemination in South Korea,"Hwang, Yongsuk; Jeong, Jaekwan; Jin, Eun-Hyeong; Yu, Hee Ra; Jung, Dawoon",Springer,2018
,3,"A big-data analysis of political rhetoric relating the developments of the United States, China, and global powers","Carter, Patrick; Wang, Jeffrie; Chau, Davis",Emerald Publishing,2020
,4,Dynamic Big-Data Broadcast in Fat-Tree Data Center Networks With Mobile IoT Devices,unknown,THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2019
,5,BIFM: Big-Data Driven Intelligent Forecasting Model for COVID-19,"Dash, Sujata; Chakraborty, Chinmay; Giri, Sourav Kumar; Pani, Subhendu Kumar; Frnda, Jaroslav",IEEE,2021
,6,A big-data model for multi-modal public transportation with application to macroscopic control and optimisation,"Faizrahnemoon, Mahsa; Schlote, Arieh; Maggi, Lorenzo; Crisostomi, Emanuele; Shorten, Robert",Taylor & Francis,2015
,7,A big-data analytics method for capturing visitor activities and flows: the case of an island country,"Miah, Shah Jahan; Vu, HuyQuan; Gammack, John",Springer Nature,2019
,8,Industrial big-data-driven and CPS-based adaptive production scheduling for smart manufacturing,"Qiao, Fei; Liu, Juan; Ma, Yumin",Taylor & Francis,2021
,9,Distributed Big-Data Optimization via Blockwise Gradient Tracking,"Notarnicola, Ivano; Sun, Ying; Scutari, Gesualdo; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,10,A big-data oriented recommendation method based on multi-objective optimization,"Xu, Chonghuan","Elsevier Science B.V., Amsterdam.",2019
,11,"Real-world big-data studies in laboratory medicine: Current status, application, and future considerations","Ma, Chaochao; Wang, Xinlu; Wu, Jie; Cheng, Xinqi; Xia, Liangyu; Xue, Fang; Qiu, Ling","Elsevier Science B.V., Amsterdam.",2020
,12,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,13,Ecology Big-data approaches lead to an increased understanding of the ecology of animal movement,"Nathan, R.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2022
,14,"A Big-Data Approach to Understanding the Thematic Landscape of the Field of Business Ethics, 1982–2016","Liu, Ying; Mai, Feng; MacDonald, Chris",Springer Nature,2018
,15,A Big-Data-based platform of workers' behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,16,Streetlytics: Big-Data for Real Estate Market Analysis,"Thrall,  Grant",unknown,2015
,17,A Big-Data-based platform of workers’ behavior: Observations from the field,"Guo, S.Y.; Ding, L.Y.; Luo, H.B.; Jiang, X.Y.","Elsevier Science B.V., Amsterdam.",2016
,18,"As Big-Data Companies Enter the Classroom, a Pioneer Issues a Warning","BLUMENSTYK, GOLDIE","Chronicle of higher education, etc ",2016
,19,A big-data analysis of human-nature relations in newspaper coverage,"Jaung, Wanggi; Carrasco, L. Roman","Elsevier Science B.V., Amsterdam.",2022
,20,Using Big-data and Surface Fitting to Improve Aircraft Safety Through the Study of Relationships and Anomalies,"Wooder, Duncan; Purvis, Alan; McWilliam, Richard","Elsevier Science B.V., Amsterdam",2017
,21,Persisting big-data: The NoSQL landscape,"Corbellini, Alejandro; Mateos, Cristian; Zunino, Alejandro; Godoy, Daniela; Schiaffino, Silvia","Elsevier Science B.V., Amsterdam.",2017
,22,A big–data security mechanism based on fully homomorphic encryption using cubic spline curve public key cryptography,"Krishna, Addepalli V. N.",Taylor and Francis,2018
,23,A Big-Data Approach to Contemporary French Politics,"Sobanet, Andrew; Singh, Lisa",Taylor & Francis,2020
,24,"A big-data spatial, temporal and network analysis of bovine tuberculosis between wildlife (badgers) and cattle","Moustakas, A.; Evans, M. R.",Springer Science + Business Media,2017
,25,Selbstlernende Big-Data-Analysen für intelligentes Energiemanagement,"Hilt, B.",Springer Science + Business Media,2015
,26,Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,"Qiao, Y.; Zhao, X.; Yang, J.; Liu, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,27,A big-data method to predict the targets of small molecules and accelerate drug discovery,"Madhukar, N.; Khade, P.; Huang, L.; Gayvert, K.; Paraskevi, G.; Elemento, O.","Elsevier Science B.V., Amsterdam.",2016
,28,A Comprehensive Big-Data-Based Monitoring System for Yield Enhancement in Semiconductor Manufacturing,"Nakata, K.; Orihara, R.; Mizuoka, Y.; Takagi, K.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,29,Research of Big-Data Mining Visualization Application,"Zhang, C.",Springer Science + Business Media,2014
,30,"21st-Century Investing Big-data companies are soaring. Despite high prices, it's still possible to cash in","Laughlin, L.S.",TIME INC,2014
,31,A Cloud Big-Data-Driven Dynamics Control Approach for Unmanned Ground Vehicles for Safety Improving,"Jiang, Xu; Ni, Jun; Wu, Jiafeng; Yang, Xu",IEEE Institute of Electrical & Electronics,2022
,32,Traditional vs. big-data fashion trend forecasting: an examination using WGSN and EDITED,Mikayla DuBreuil; Sheng Lu,TAYLOR & FRANCIS GROUP,2020
,33,Optimizing Read-Once Data Flow in Big-Data Applications,"Morad, T. Y.; Shomron, G.; Erez, M.; Kolodny, A.; Weiser, U. C.",IEEE Computer Society,2017
,34,Lessons for big-data projects,"Birney, E.",Nature Publishing Group,2012
,35,Leveraging The Big-Data Revolution: CMS Is Expanding Capabilities To Spur Health System Transformation,"Brennan, N.; Oelschlaeger, A.; Cox, C.; Tavenner, M.",PROJECT HOPE,2014
,36,Editorial: Advanced Big-Data Analysis Methods and Tools for High-Throughput Omics Technologies,"Huang, Tao",Bantham Science Publishers Ltd,2017
,37,A Tensor-Based Big-Data-Driven Routing Recommendation Approach for Heterogeneous Networks,"Wang, Xiaokang; Yang, Laurence T.; Kuang, Liwei; Liu, Xingang; Zhang, Qingxia; Deen, M. Jamal",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,38,Distributed Partitioned Big-Data Optimization via Asynchronous Dual Decomposition,unknown,IEEE,2018
,39,IBM stellt Big-Data-Services aus Twitter vor,unknown,SPRINGER SCIENCE + BUSINESS MEDIA,2015
,40,Four Health Data Networks Illustrate The Potential For A Shared National Multipurpose Big-Data Network,"Curtis, L.H.; Brown, J.; Platt, R.",PROJECT HOPE,2014
,41,"Situating Ecology as a Big-Data Science: Current Advances, Challenges, and Solutions","Farley, S. S.; Dawson, A.; Goring, S. J.; Williams, J. W.",BIOSCIENCE SUBSCRIPTION OFFICE,2018
,42,Ari Caroline: This big-data guru mines analytics to help cancer patients [Resources_Careers],"Nordrum, A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,43,Comparative Evaluation of Big-Data Systems on Scientific Image Analytics Workloads,"Mehta,  Parmita; Dorkenwald,  Sven; Zhao,  Dongfang; Kaftan,  Tomer; Cheung,  Alvin; Balazinska,  Magdalena; Rokem,  Ariel; Connolly,  Andrew; Vanderplas,  Jacob; Alsayyad,  Yusra",VLDB Endowment,2017
,44,Framework for Aligning Big-Data Strategy with Organizational Goals,"Lakoju,  Mike; Serrano,  Alan","Curran Associates,.",2017
,45,Design and Implementation of Big-Data Analysis Application on Spark for Distribution Network Based on Data Interception,"Zhang, Pan; Ding, Lingyun; Jiang, Ning; Ling, Wanshui; Ding, Yi","Elsevier Science B.V., Amsterdam",2018
,46,An Ultralow-power Memory-based Big-data Computing Platform by Nonvolatile Domain-wall Nanowire Devices,"Wang, Y.; Yu, H.","Red Hook, NY; Curran Associates, Inc.",2013
,47,Enhancing physical-layer security via big-data-aided hybrid relay selection,"He, H.; Ren, P.; Du, Q.; Sun, L.; Wang, Y.",Springer Science + Business Media,2017
,48,Mobile Edge Computing for Big-Data-Enabled Electric Vehicle Charging,"Cao, Y.; Song, H.; Kaiwartya, O.; Zhou, B.; Zhuang, Y.; Cao, Y.; Zhang, X.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,49,More accountability for big-data algorithms,unknown,Nature Publishing Group,2016
,50,Daten und Diabetes: Big-Data-Medizin,"Ickrath, M.",Springer Science + Business Media,2016
,51,"After Facebook Fiasco, Big-Data Researchers Rethink Ethics.","VOOSEN, PAUL.","Chronicle of higher education, etc",2015
,52,ConEx: Efficient Exploration of Big-Data System Configurations for Better Performance,"Krishna, Rahul; Tang, Chong; Sullivan, Kevin; Ray, Baishakhi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,53,A Middleware for Managing Big-Data Flows,"Gupta, R.; Gupta, H.; Gupta, S.; Padmanabhan, S.",SPRINGER-VERLAG,2013
,54,Israeli firm MedAware offers big-data software that helps detect prescription errors,"Rice,  Sabriya",CRAIN COMMUNICATIONS INC.,2015
,55,COMPUTING Cloud cover The big-data era is putting pressure on storage methods,unknown,Nature Publishing Group,2015
,56,Smallholders need access to big-data agronomy too,"Mehrabi, Z.; Jimenez, D.; Jarvis, A.",Nature Publishing Group,2018
,57,Analysis: Don't do big-data science backwards,"Lindenmayer, D. B.; Likens, G. E.",Nature Publishing Group,2013
,58,"Political Depression? A Big-Data, Multimethod Investigation of Americans' Emotional Response to the Trump Presidency","Simchon, Almog; Guntuku, Sharath Chandra; Simhon, Rotem; Ungar, Lyle H.; Hassin, Ran R.; Gilead, Michael",APA AMERICAN PSYCHOLOGICAL ASSOCIATION,2020
,59,Industrial Symbiosis: Exploring Big-data Approach for Waste Stream Discovery,"Song, Bin; Yeo, Zhiquan; Kohls, Paul; Herrmann, Christoph","Elsevier Science B.V., Amsterdam",2017
,60,Integrative Biology and Big-Data-Centrism: Mapping out a Bioscience Ethics Perspective with a S.W.O.T. Matrix,"Überall, Martina; Werner-Felmayer, Gabriele",Mary Ann Leibert,2019
,61,Advancing manufacturing systems with big-data analytics: A conceptual framework,"Kozjek, Dominik; Vrabič, Rok; Rihtaršič, Borut; Lavrač, Nada; Butala, Peter",Taylor & Francis,2020
,62,Pipelined Multi-GPU MapReduce for Big-Data Processing,"Chen, Y.; Qiao, Z.; Davis, S.; Jiang, H.; Li, K.-C.",Springer Science,2013
,63,JBHI Special Issue of Big-Data for Health,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,64,Performance evaluation of NoSQL big-data applications using multi-formalism models,"Barbierato, E.; Gribaudo, M.; Iacono, M.","Elsevier Science B.V., Amsterdam.",2014
,65,A methodology for real-time data sustainability in smart city: Towards inferencing and analytics for big-data,"Malik, Kaleem Razzaq; Sam, Yacine; Hussain, Majid; Abuarqoub, Abdelrahman",Elsevier Science,2018
,66,Careers: Graduate programs for big-data analysts,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,67,Abnormal Operation Tracking through Big-Data-Based Gram—Schmidt Orthogonalization: Production of n-Propyl Propionate in a Simulated Moving-Bed Reactor: A Case Study,"Santana, Vinicius V.; Martins, Márcio A. F.; Rodrigues, Alírio E.; Loureiro, José M.; Ribeiro, Ana M.; Nogueira, Idelfonso B. R.",ACS AMERICAN CHEMICAL SOCIETY,2021
,68,Semantic interoperability for big-data in heterogeneous IoT infrastructure for healthcare,"Ullah, Farhan; Habib, Muhammad Asif; Farhan, Muhammad; Khalid, Shehzad; Durrani, Mehr Yahya; Jabbar, Sohail",Elsevier Science,2017
,69,PMU121 APPLICATION OF REAL-WORLD DATA FROM MEDICAL BIG-DATA PLATFORM IN REAL WORLD EVIDENCE GENERATION: A PRACTICE IN POST-MARKETING RESEARCH IN CHINA,"Wang, Y.; Xing, Y.; Wu, Y.; Yuan, N.; Wang, F.; Jiang, B.; Xiong, T.","Elsevier Science B.V., Amsterdam",2020
,70,High performance solutions for big-data GWAS,"Peise, E.; Fabregat-Traver, D.; Bientinesi, P.","Elsevier Science B.V., Amsterdam.",2015
,71,PWR pin-homogenized cross-sections analysis using big-data technology,"Hua, Guowei; Li, Yunzhao; Wang, Sicheng","Elsevier Science B.V., Amsterdam.",2020
,72,Predicting the pattern of technology convergence using big-data technology on large-scale triadic patents,"Lee, W. S.; Han, E. J.; Sohn, S. Y.","Elsevier Science B.V., Amsterdam.",2015
,73,Government responsiveness and public acceptance of big-data technology in urban governance: Evidence from China during the COVID-19 pandemic,"Guo, Yue; Chen, Jidong; Liu, Zhilin","Elsevier Science B.V., Amsterdam.",2022
,74,Evolutionary Scheduling of Dynamic Multitasking Workloads for Big-Data Analytics in Elastic Cloud,"Zhang, F.; Cao, J.; Tan, W.; Khan, S. U.; Li, K.; Zomaya, A. Y.",IEEE,2014
,75,High-performance interconnection networks in the Exascale and Big-Data Era,"Escudero-Sahuquillo, J. s.; Garcia, P. J.",Springer Science + Business Media,2016
,76,A qualitative readiness-requirements assessment model for enterprise big-data infrastructure investment [9122-13],"Olama, M.M.; McNair, A.W.; Sukumar, S.R.; Nutaro, J.J.",International Society for Optical Engineering; 1999,2014
,77,Position synchronization for track geometry inspection data via big-data fusion and incremental learning,"Wang, Yuan; Wang, Ping; Wang, Xin; Liu, Xiang","Elsevier Science B.V., Amsterdam.",2018
,78,Interview mit Stefan Wrobel zum Thema „Angewandte Big-Data-Forschung“,"Jarke, M.",unknown,2014
,79,A code offloading scheme for big-data processing in android applications,"Hung, S. H.; Tzeng, T. T.; Wu, G. D.; Shieh, J. P.","John Wiley & Sons, Ltd",2015
,80,Identifying industrial clusters with a novel big-data methodology: Are SIC codes (not) fit for purpose in the Internet age?,"Papagiannidis, Savvas; See-To, Eric W.K.; Assimakopoulos, Dimitris G.; Yang, Yang","Elsevier Science B.V., Amsterdam.",2018
,81,Deadline-Aware Scheduling and Flexible Bandwidth Allocation for Big-Data Transfers,"Srinivasan, Srinikethan Madapuzi",IEEE,2018
,82,"Stochastic Approximation: From Statistical Origin to Big-Data, Multidisciplinary Applications","Lai, Tze Leung; Yuan, Hongsong",IMS INSTITUTE OF MATHEMATICAL STATISTICS,2021
,83,E-commerce logistics distribution mode in big-data context: A case analysis of JD.COM,"Zheng, Kangning; Zhang, Zuopeng; Song, Bin","Elsevier Science B.V., Amsterdam.",2020
,84,Emergency Drug Procurement Planning Based on Big-Data Driven Morbidity Prediction,"Song, Qin",IEEE,2019
,85,Vergleich von Kompetenzanforderungen an Business-Intelligence- und Big-Data-Spezialisten,"Debortoli, S.; Müller, O.; Brocke, J. v.",unknown,2014
,86,The Power of Message Networks: A Big-Data Analysis of the Network Agenda Setting Model and Issue Ownership,"Guo, Lei; Vargo, Chris",Taylor & Francis,2015
,87,Interview mit Michael Feindt zum Thema „Präskriptive Big-Data-Analyse“,"Jarke, M.",unknown,2014
,88,Cost optimization for deadline-aware scheduling of big-data processing jobs on clouds,"Zheng, Wei; Qin, Yingsheng; Bugingo, Emmanuel; Zhang, Dongzhan; Chen, Jinjun","Elsevier Science B.V., Amsterdam.",2018
,89,"„Wichtig ist auch der Hinweis, dass Big-Data- und vergleichbare Konzepte nicht unmittelbar greifen“",unknown,Springer Science + Business Media,2016
,90,Economics and econophysics in the era of Big Data,"Cheong, S. A.",SPRINGER,2016
,91,JBHI Special Issue of &#x201C;Big-Data for Health&#x201D;,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,92,An Out of Memory tSVD for Big-Data Factorization,"Carrillo-Cabada, Hector; Skau, Erik; Chennupati, Gopinath; Alexandrov, Boian; Djidjev, Hristo",IEEE,2020
,93,Failure Analysis and Prediction for Big-Data Systems,"Rosa, A.; Chen, L. Y.; Binder, W.",Institute of Electrical & Electronics Engineers,2017
,94,"Phylogenomics — principles, opportunities and pitfalls of big‐data phylogenetics","Young, Andrew D.; Gillung, Jessica P.","John Wiley & Sons, Ltd",2020
,95,"Symposium on insure‐tech, digitalization, and big‐data techniques in risk management and insurance","Bauer, Daniel; Tyler Leverty, James; Schmit, Joan; Sydnor, Justin",Wiley-Blackwell,2021
,96,Structural Health Monitoring as a Big-Data Problem,"Cremona, C.; Santos, J.","IABSE, ETH-HONGGERBERG",2018
,97,Fast algorithm for relaxation processes in big-data systems (10 pages),"Hwang, S.; Lee, D.-S.; Kahng, B.",AMERICAN PHYSICAL SOCIETY,2014
,98,22.4 Starting to Think About Big-Data Approaches to Clinical Detection of Early-Stage Bipolar Disorder: Evidence-Based Assessment and Statistical Learning Models,"Youngstrom, Eric; Lindheim, Oliver",Elsevier,2018
,99,The China Kidney Disease Network (CK-NET): “Big Data—Big Dreams”,"Saran, Rajiv; Steffick, Diane; Bragg-Gresham, Jennifer",W B SAUNDERS CO,2017
,100,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",Cham; Springer,2014
,1,AD EXEC OF THE FUTURE? BIG-DATA DRAPER,"Kerwin, Ann Marie; Zmuda, Natalie","Crain Communications, Inc.",2013
,2,Monsanto throws its hat in the big-data ring,unknown,CXO MEDIA,2013
,3,A Study on Monitoring Models for Big-Data Traffic Analysis and Utilization,Hae-Jong Joo; Moon-Taek Cho; Jong-Suk Lee,International Information Institute,2015
,4,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",SPRINGER-VERLAG,2014
,5,Editorial Note: HCI Systems for Big-Data Based Multimedia Applications,unknown,Springer Science + Business Media,2017
,6,GlobeLand30: Operational global land cover mapping and big-data analysis,"Chen, Jun; Chen, Jin",Springer Nature,2018
,7,RW4 APPLICATION OF ARTIFICIAL INTELLIGENCE AND MEDICAL BIG-DATA IN REAL WORLD EVIDENCE GENERATION: A LITERATURE REVIEW OF RESEARCH PRACTICE IN CHINA,"Xiong, T.; Li, J.; Hao, Y.; Xu, J.","Elsevier Science B.V., Amsterdam",2019
,8,In sieben Schritten zum erfolgreichen Big-Data-Projekt,"Conrads, R.",Springer Science + Business Media,2014
,9,Mapping collective behavior in the big-data era,"Bentley, R.A.; O Brien, M.J.; Brock, W.A.",CAMBRIDGE UNIVERSITY PRESS,2014
,10,Biology must develop its own big-data systems,"Boyle, J.",Nature Publishing Group,2013
,11,"Physical education's grand convergence: Fitnessgram®, big-data and the digital commerce of children's health","Pluim, Carolyn; Gard, Michael",Taylor & Francis,2018
,12,Seeking Alpha from Dividend Announcements: Big-Data Insights from Joining CAR and EVA Style Analysis,Atreya Chakraborty ; James L. Grant ; Emery A. Trahan ; Bhakti Varma,Institutional Investor Inc,2021
,13,Fine-Grained Dynamic Resource Allocation for Big-Data Applications,"Baresi, Luciano; Leva, Alberto; Quattrocchi, Giovanni",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,14,The Linear Estimation Problem and Information in Big-Data Systems,"Golubtsov, P. V.",Springer Nature,2018
,15,Randomized Block Proximal Methods for Distributed Stochastic Big-Data Optimization,"Farina, Francesco; Notarstefano, Giuseppe",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,16,Predicting future mental illness from social media: A big-data approach,"Thorstad, Robert; Wolff, Phillip",Springer Nature,2019
,17,Predicting Congestion States from Basic Safety Messages by Using Big-Data Graph Analytics,"Vasudevan,  Meenakshy; Negron,  Daniel; Feltz,  Matthew; Mallette,  Jennifer; Wunderlich,  Karl","Washington, DC; National Academy Press; 1998",2015
,18,Androgen Deprivation Therapy and Dementia: New Opportunities and Challenges in the Big-Data Era,"Nead,  Kevin T.",American Society of Clinical Oncology,2017
